Date,Day,Bolivar Fuerte,Brazilian Real,Chilean Peso,Colombian Peso,Nuevo Sol,Peso Uruguayo
1995-1-3,1,,0.843,,833.18,,
1995-1-4,2,,0.844,,835.38,,
1995-1-5,3,,0.844,,838.33,,
1995-1-6,4,,0.842,,838.87,,
1995-1-9,5,,0.839,,,,
1995-1-10,6,,0.844,,837.07,,
1995-1-11,7,,0.846,,,,
1995-1-12,8,,0.849,,843.69,,
1995-1-13,9,,0.844,,841.52,,
1995-1-16,10,,0.845,,843.7,,
1995-1-17,11,,0.848,,846.61,,
1995-1-18,12,,0.844,,847.61,,
1995-1-19,13,,0.844,,850.26,,
1995-1-20,14,,0.846,,852.68,,
1995-1-23,15,,0.846,,855.54,,
1995-1-24,16,,0.85,,855.49,,
1995-1-25,17,,0.852,,856.65,,
1995-1-26,18,,0.851,,857.56,,
1995-1-27,19,,0.844,,859.3,,
1995-1-30,20,,0.843,,857.83,,
1995-1-31,21,,0.845,410.55,856.41,,
1995-2-1,22,,0.84,,,,
1995-2-2,23,,0.841,,855.76,,
1995-2-3,24,,0.838,,852.22,,
1995-2-6,25,,0.838,,848.82,,
1995-2-7,26,,,,848.27,,
1995-2-8,27,,0.835,,848.43,,
1995-2-9,28,,0.834,,847.04,,
1995-2-10,29,,0.832,,845.73,,
1995-2-13,30,,0.833,,845.37,,
1995-2-14,31,,0.832,,846.2,,
1995-2-15,32,,0.833,,848.15,,
1995-2-16,33,,0.835,,848.52,,
1995-2-17,34,,0.843,,848.9,,
1995-2-20,35,,0.848,,849.41,,
1995-2-21,36,,0.84,,851.88,,
1995-2-22,37,,0.841,,853.63,,
1995-2-23,38,,0.846,,855.32,,
1995-2-24,39,,0.843,,855.48,,
1995-2-27,40,,,,854.71,,
1995-2-28,41,,,410.45,856.99,,
1995-3-1,42,,0.8495,,857.85,,
1995-3-2,43,,0.848,,858.87,,
1995-3-3,44,,0.851,,861.33,,
1995-3-6,45,,0.856,,859.65,,
1995-3-7,46,,0.866,,858.95,,
